pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605062713.58988,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062714.59038,0,1.00050,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062714.67997,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1605062713,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062715.59054,0,1.00016,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062715.68040,0,1.00043,32,255,2,147,1121,2000,PIOC,121,1605062713,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062716.42183,0,1.00000,99,255,4,142,1231,2000,BFP,231,1605062715,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062716.59066,0,1.00012,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,3,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062716.68093,0,1.00053,32,255,2,147,1121,2000,PIOC,121,1605062713,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062716.81376,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1605062716,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062717.42288,0,1.00105,99,255,4,142,1231,2000,BFP,231,1605062715,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062717.59095,0,1.00029,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,4,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062717.68164,0,1.00071,32,255,2,147,1121,2000,PIOC,121,1605062713,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062717.81425,0,1.00049,11,255,3,152,1131,2000,PIOC,131,1605062716,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062718.42341,0,1.00053,99,255,4,142,1231,2000,BFP,231,1605062715,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062718.59112,0,1.00017,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,5,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062718.68202,0,1.00038,32,255,2,147,1121,2000,PIOC,121,1605062713,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062718.81467,0,1.00042,11,255,3,152,1131,2000,PIOC,131,1605062716,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062719.42369,0,1.00028,99,255,4,142,1231,2000,BFP,231,1605062715,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062719.59157,0,1.00045,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,6,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062719.68275,0,1.00073,32,255,2,147,1121,2000,PIOC,121,1605062713,0,1,1,5,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062719.81468,0,1.00001,11,255,3,152,1131,2000,PIOC,131,1605062716,0,1,1,3,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062720.42391,0,1.00022,99,255,4,142,1231,2000,BFP,231,1605062715,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605062720.59222,0,1.00065,23,255,1,147,1111,2000,PIOC,111,1605062712,0,1,1,7,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
