year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,12,45,13,875,1605062713.875000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,13,993,1605062713.993000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,107,1605062714.107000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,216,1605062714.216000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,329,1605062714.329000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,445,1605062714.445000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,559,1605062714.559000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,671,1605062714.671000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,783,1605062714.783000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,14,896,1605062714.896000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,6,1605062715.006000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,123,1605062715.123000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,235,1605062715.235000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,347,1605062715.347000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,462,1605062715.462000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,578,1605062715.578000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,692,1605062715.692000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,804,1605062715.804000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,15,918,1605062715.918000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,29,1605062716.029000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,148,1605062716.148000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,265,1605062716.265000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,376,1605062716.376000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,488,1605062716.488000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,606,1605062716.606000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,724,1605062716.724000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,842,1605062716.842000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,16,957,1605062716.957000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,71,1605062717.071000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,185,1605062717.185000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,302,1605062717.302000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,415,1605062717.415000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,527,1605062717.527000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,644,1605062717.644000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,45,17,756,1605062717.756000,0,0,0,0,0,1,1,1,1,
