year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,11,12,45,9,161,1605062709.161000,0,0,0,0,0,0,0,0,0,0,
2020,11,11,12,45,9,279,1605062709.279000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,9,390,1605062709.390000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,9,501,1605062709.501000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,9,614,1605062709.614000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,9,725,1605062709.725000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,9,841,1605062709.841000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,9,956,1605062709.956000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,70,1605062710.070000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,186,1605062710.186000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,300,1605062710.300000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,417,1605062710.417000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,527,1605062710.527000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,641,1605062710.641000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,757,1605062710.757000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,868,1605062710.868000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,10,981,1605062710.981000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,96,1605062711.096000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,206,1605062711.206000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,320,1605062711.320000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,435,1605062711.435000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,550,1605062711.550000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,665,1605062711.665000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,778,1605062711.778000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,11,890,1605062711.890000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,0,1605062712.000000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,116,1605062712.116000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,232,1605062712.232000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,354,1605062712.354000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,474,1605062712.474000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,585,1605062712.585000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,701,1605062712.701000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,815,1605062712.815000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,12,927,1605062712.927000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,40,1605062713.040000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,154,1605062713.154000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,269,1605062713.269000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,382,1605062713.382000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,492,1605062713.492000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,605,1605062713.605000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,716,1605062713.716000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,833,1605062713.833000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,13,947,1605062713.947000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,58,1605062714.058000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,173,1605062714.173000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,285,1605062714.285000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,399,1605062714.399000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,514,1605062714.514000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,628,1605062714.628000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,740,1605062714.740000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,853,1605062714.853000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,14,973,1605062714.973000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,97,1605062715.097000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,211,1605062715.211000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,322,1605062715.322000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,433,1605062715.433000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,549,1605062715.549000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,664,1605062715.664000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,777,1605062715.777000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,15,899,1605062715.899000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,16,16,1605062716.016000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,16,140,1605062716.140000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,12,45,16,261,1605062716.261000,1,0,0,1,0,17,17,30,52,0,
