year,month,day,hour,minute,second,millisecond,UTC,open_CB1-66KV,open_CB2-66KV,open_CB-TRSF1,open_CB2-22KV,I_CB1-66KV,I_CB2-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_CB2-22KV
2020,11,11,12,51,24,36,1605063084.036000,0,1,0,1,0,0,0,0,0,0,
2020,11,11,12,51,24,154,1605063084.154000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,256,1605063084.256000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,358,1605063084.358000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,460,1605063084.460000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,561,1605063084.561000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,663,1605063084.663000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,765,1605063084.765000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,867,1605063084.867000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,24,969,1605063084.969000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,71,1605063085.071000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,173,1605063085.173000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,274,1605063085.274000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,377,1605063085.377000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,479,1605063085.479000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,581,1605063085.581000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,683,1605063085.683000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,785,1605063085.785000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,887,1605063085.887000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,25,990,1605063085.990000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,92,1605063086.092000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,194,1605063086.194000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,297,1605063086.297000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,398,1605063086.398000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,503,1605063086.503000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,605,1605063086.605000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,708,1605063086.708000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,810,1605063086.810000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,26,912,1605063086.912000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,15,1605063087.015000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,117,1605063087.117000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,219,1605063087.219000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,321,1605063087.321000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,424,1605063087.424000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,531,1605063087.531000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,635,1605063087.635000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,737,1605063087.737000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,839,1605063087.839000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,27,941,1605063087.941000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,44,1605063088.044000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,146,1605063088.146000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,249,1605063088.249000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,352,1605063088.352000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,455,1605063088.455000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,558,1605063088.558000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,660,1605063088.660000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,762,1605063088.762000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,864,1605063088.864000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,28,967,1605063088.967000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,70,1605063089.070000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,172,1605063089.172000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,274,1605063089.274000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,376,1605063089.376000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,479,1605063089.479000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,581,1605063089.581000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,684,1605063089.684000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,786,1605063089.786000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,888,1605063089.888000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,29,990,1605063089.990000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,97,1605063090.097000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,199,1605063090.199000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,302,1605063090.302000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,404,1605063090.404000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,507,1605063090.507000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,609,1605063090.609000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,712,1605063090.712000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,815,1605063090.815000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,30,918,1605063090.918000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,20,1605063091.020000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,122,1605063091.122000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,224,1605063091.224000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,326,1605063091.326000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,428,1605063091.428000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,531,1605063091.531000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,635,1605063091.635000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,738,1605063091.738000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,840,1605063091.840000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,31,942,1605063091.942000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,48,1605063092.048000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,151,1605063092.151000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,254,1605063092.254000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,359,1605063092.359000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,461,1605063092.461000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,564,1605063092.564000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,667,1605063092.667000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,769,1605063092.769000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,873,1605063092.873000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,32,976,1605063092.976000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,78,1605063093.078000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,181,1605063093.181000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,283,1605063093.283000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,386,1605063093.386000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,488,1605063093.488000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,592,1605063093.592000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,700,1605063093.700000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,803,1605063093.803000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,33,905,1605063093.905000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,8,1605063094.008000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,109,1605063094.109000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,212,1605063094.212000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,314,1605063094.314000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,417,1605063094.417000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,519,1605063094.519000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,622,1605063094.622000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,724,1605063094.724000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,827,1605063094.827000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,34,931,1605063094.931000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,33,1605063095.033000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,136,1605063095.136000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,238,1605063095.238000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,342,1605063095.342000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,444,1605063095.444000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,548,1605063095.548000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,653,1605063095.653000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,756,1605063095.756000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,858,1605063095.858000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,35,960,1605063095.960000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,61,1605063096.061000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,164,1605063096.164000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,267,1605063096.267000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,369,1605063096.369000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,471,1605063096.471000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,573,1605063096.573000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,676,1605063096.676000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,778,1605063096.778000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,879,1605063096.879000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,36,983,1605063096.983000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,85,1605063097.085000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,187,1605063097.187000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,289,1605063097.289000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,391,1605063097.391000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,493,1605063097.493000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,595,1605063097.595000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,697,1605063097.697000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,801,1605063097.801000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,37,904,1605063097.904000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,38,6,1605063098.006000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,38,109,1605063098.109000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,38,210,1605063098.210000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,38,312,1605063098.312000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,51,38,414,1605063098.414000,0,1,0,1,17,0,17,30,52,0,
