year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,13,4,36,597,1605063876.597000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,36,712,1605063876.712000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,36,824,1605063876.824000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,36,937,1605063876.937000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,49,1605063877.049000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,160,1605063877.160000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,272,1605063877.272000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,384,1605063877.384000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,499,1605063877.499000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,610,1605063877.610000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,729,1605063877.729000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,844,1605063877.844000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,37,960,1605063877.960000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,73,1605063878.073000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,187,1605063878.187000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,304,1605063878.304000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,421,1605063878.421000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,534,1605063878.534000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,646,1605063878.646000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,759,1605063878.759000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,872,1605063878.872000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,38,991,1605063878.991000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,104,1605063879.104000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,222,1605063879.222000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,339,1605063879.339000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,451,1605063879.451000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,568,1605063879.568000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,684,1605063879.684000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,797,1605063879.797000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,39,912,1605063879.912000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,4,40,28,1605063880.028000,0,0,0,0,0,1,1,1,1,
