year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,11,13,4,34,684,1605063874.684000,0,0,0,0,0,0,0,0,26,
2020,11,11,13,4,34,802,1605063874.802000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,34,904,1605063874.904000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,5,1605063875.005000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,107,1605063875.107000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,208,1605063875.208000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,310,1605063875.310000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,411,1605063875.411000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,513,1605063875.513000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,615,1605063875.615000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,718,1605063875.718000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,820,1605063875.820000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,35,922,1605063875.922000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,24,1605063876.024000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,127,1605063876.127000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,230,1605063876.230000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,331,1605063876.331000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,434,1605063876.434000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,537,1605063876.537000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,639,1605063876.639000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,740,1605063876.740000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,842,1605063876.842000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,36,945,1605063876.945000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,46,1605063877.046000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,150,1605063877.150000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,252,1605063877.252000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,354,1605063877.354000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,456,1605063877.456000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,558,1605063877.558000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,660,1605063877.660000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,763,1605063877.763000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,866,1605063877.866000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,37,968,1605063877.968000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,70,1605063878.070000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,173,1605063878.173000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,276,1605063878.276000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,378,1605063878.378000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,480,1605063878.480000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,584,1605063878.584000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,687,1605063878.687000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,790,1605063878.790000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,893,1605063878.893000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,38,995,1605063878.995000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,100,1605063879.100000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,202,1605063879.202000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,305,1605063879.305000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,408,1605063879.408000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,511,1605063879.511000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,613,1605063879.613000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,716,1605063879.716000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,818,1605063879.818000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,39,920,1605063879.920000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,22,1605063880.022000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,125,1605063880.125000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,227,1605063880.227000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,329,1605063880.329000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,431,1605063880.431000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,534,1605063880.534000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,638,1605063880.638000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,740,1605063880.740000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,842,1605063880.842000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,4,40,944,1605063880.944000,0,0,0,0,0,0,0,26,26,
