year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,16,12,15,57,470,1605492957.470000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,57,588,1605492957.588000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,57,708,1605492957.708000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,57,825,1605492957.825000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,57,941,1605492957.941000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,65,1605492958.065000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,179,1605492958.179000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,297,1605492958.297000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,418,1605492958.418000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,532,1605492958.532000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,648,1605492958.648000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,770,1605492958.770000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,58,887,1605492958.887000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,8,1605492959.008000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,119,1605492959.119000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,235,1605492959.235000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,351,1605492959.351000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,470,1605492959.470000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,588,1605492959.588000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,709,1605492959.709000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,15,59,829,1605492959.829000,0,0,0,0,0,1,1,1,1,
