year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,16,12,15,51,436,1605492951.436000,0,0,0,0,0,17,17,30,52,0,
2020,11,16,12,15,51,553,1605492951.553000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,51,669,1605492951.669000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,51,785,1605492951.785000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,51,901,1605492951.901000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,13,1605492952.013000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,128,1605492952.128000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,240,1605492952.240000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,353,1605492952.353000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,473,1605492952.473000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,589,1605492952.589000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,706,1605492952.706000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,820,1605492952.820000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,52,932,1605492952.932000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,45,1605492953.045000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,159,1605492953.159000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,288,1605492953.288000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,408,1605492953.408000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,521,1605492953.521000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,641,1605492953.641000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,752,1605492953.752000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,864,1605492953.864000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,53,981,1605492953.981000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,99,1605492954.099000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,223,1605492954.223000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,334,1605492954.334000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,455,1605492954.455000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,572,1605492954.572000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,686,1605492954.686000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,809,1605492954.809000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,54,924,1605492954.924000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,38,1605492955.038000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,158,1605492955.158000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,273,1605492955.273000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,391,1605492955.391000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,510,1605492955.510000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,627,1605492955.627000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,741,1605492955.741000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,857,1605492955.857000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,55,976,1605492955.976000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,92,1605492956.092000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,214,1605492956.214000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,327,1605492956.327000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,440,1605492956.440000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,551,1605492956.551000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,663,1605492956.663000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,15,56,779,1605492956.779000,1,0,0,1,0,17,17,30,52,0,
