year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,16,12,24,7,779,1605493447.779000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,7,899,1605493447.899000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,15,1605493448.015000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,125,1605493448.125000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,240,1605493448.240000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,354,1605493448.354000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,465,1605493448.465000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,577,1605493448.577000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,690,1605493448.690000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,802,1605493448.802000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,8,912,1605493448.912000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,30,1605493449.030000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,148,1605493449.148000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,264,1605493449.264000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,375,1605493449.375000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,498,1605493449.498000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,615,1605493449.615000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,727,1605493449.727000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,839,1605493449.839000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,9,957,1605493449.957000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,75,1605493450.075000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,188,1605493450.188000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,305,1605493450.305000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,421,1605493450.421000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,539,1605493450.539000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,653,1605493450.653000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,766,1605493450.766000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,10,887,1605493450.887000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,3,1605493451.003000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,119,1605493451.119000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,230,1605493451.230000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,345,1605493451.345000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,459,1605493451.459000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,580,1605493451.580000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,713,1605493451.713000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,836,1605493451.836000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,11,948,1605493451.948000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,75,1605493452.075000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,190,1605493452.190000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,308,1605493452.308000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,432,1605493452.432000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,543,1605493452.543000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,662,1605493452.662000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,775,1605493452.775000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,12,890,1605493452.890000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,9,1605493453.009000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,120,1605493453.120000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,236,1605493453.236000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,352,1605493453.352000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,471,1605493453.471000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,585,1605493453.585000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,709,1605493453.709000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,822,1605493453.822000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,13,940,1605493453.940000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,55,1605493454.055000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,168,1605493454.168000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,287,1605493454.287000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,402,1605493454.402000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,521,1605493454.521000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,638,1605493454.638000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,763,1605493454.763000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,881,1605493454.881000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,14,998,1605493454.998000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,15,113,1605493455.113000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,15,229,1605493455.229000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,15,350,1605493455.350000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,24,15,465,1605493455.465000,0,0,0,0,0,1,1,1,1,
