year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,16,12,24,2,779,1605493442.779000,0,0,0,0,0,17,17,30,52,0,
2020,11,16,12,24,2,896,1605493442.896000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,8,1605493443.008000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,120,1605493443.120000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,233,1605493443.233000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,344,1605493443.344000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,454,1605493443.454000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,565,1605493443.565000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,681,1605493443.681000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,795,1605493443.795000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,3,908,1605493443.908000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,33,1605493444.033000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,149,1605493444.149000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,262,1605493444.262000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,377,1605493444.377000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,495,1605493444.495000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,610,1605493444.610000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,723,1605493444.723000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,837,1605493444.837000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,4,952,1605493444.952000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,72,1605493445.072000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,185,1605493445.185000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,299,1605493445.299000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,410,1605493445.410000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,523,1605493445.523000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,635,1605493445.635000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,747,1605493445.747000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,860,1605493445.860000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,5,979,1605493445.979000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,98,1605493446.098000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,225,1605493446.225000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,342,1605493446.342000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,456,1605493446.456000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,572,1605493446.572000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,694,1605493446.694000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,818,1605493446.818000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,6,929,1605493446.929000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,44,1605493447.044000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,156,1605493447.156000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,269,1605493447.269000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,382,1605493447.382000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,499,1605493447.499000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,614,1605493447.614000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,728,1605493447.728000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,845,1605493447.845000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,7,964,1605493447.964000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,79,1605493448.079000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,195,1605493448.195000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,316,1605493448.316000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,426,1605493448.426000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,542,1605493448.542000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,657,1605493448.657000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,769,1605493448.769000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,8,888,1605493448.888000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,4,1605493449.004000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,119,1605493449.119000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,238,1605493449.238000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,353,1605493449.353000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,464,1605493449.464000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,578,1605493449.578000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,696,1605493449.696000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,817,1605493449.817000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,9,936,1605493449.936000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,53,1605493450.053000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,169,1605493450.169000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,283,1605493450.283000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,397,1605493450.397000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,512,1605493450.512000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,630,1605493450.630000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,750,1605493450.750000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,863,1605493450.863000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,10,976,1605493450.976000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,89,1605493451.089000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,205,1605493451.205000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,322,1605493451.322000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,443,1605493451.443000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,556,1605493451.556000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,676,1605493451.676000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,790,1605493451.790000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,11,914,1605493451.914000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,45,1605493452.045000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,158,1605493452.158000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,271,1605493452.271000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,385,1605493452.385000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,510,1605493452.510000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,636,1605493452.636000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,754,1605493452.754000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,873,1605493452.873000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,12,986,1605493452.986000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,105,1605493453.105000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,224,1605493453.224000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,341,1605493453.341000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,458,1605493453.458000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,574,1605493453.574000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,696,1605493453.696000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,814,1605493453.814000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,13,936,1605493453.936000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,52,1605493454.052000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,170,1605493454.170000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,283,1605493454.283000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,400,1605493454.400000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,521,1605493454.521000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,641,1605493454.641000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,761,1605493454.761000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,14,880,1605493454.880000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,4,1605493455.004000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,120,1605493455.120000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,238,1605493455.238000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,352,1605493455.352000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,469,1605493455.469000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,591,1605493455.591000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,706,1605493455.706000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,820,1605493455.820000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,15,939,1605493455.939000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,55,1605493456.055000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,170,1605493456.170000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,287,1605493456.287000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,403,1605493456.403000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,522,1605493456.522000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,642,1605493456.642000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,775,1605493456.775000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,16,895,1605493456.895000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,18,1605493457.018000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,139,1605493457.139000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,255,1605493457.255000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,378,1605493457.378000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,508,1605493457.508000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,645,1605493457.645000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,763,1605493457.763000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,878,1605493457.878000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,17,998,1605493457.998000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,119,1605493458.119000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,231,1605493458.231000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,346,1605493458.346000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,459,1605493458.459000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,573,1605493458.573000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,696,1605493458.696000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,812,1605493458.812000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,18,929,1605493458.929000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,45,1605493459.045000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,164,1605493459.164000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,278,1605493459.278000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,393,1605493459.393000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,512,1605493459.512000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,627,1605493459.627000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,24,19,747,1605493459.747000,1,0,0,1,0,17,17,30,52,0,
