year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,16,12,59,8,839,1605495548.839000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,8,961,1605495548.961000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,76,1605495549.076000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,187,1605495549.187000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,299,1605495549.299000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,427,1605495549.427000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,541,1605495549.541000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,652,1605495549.652000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,763,1605495549.763000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,876,1605495549.876000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,9,993,1605495549.993000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,109,1605495550.109000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,228,1605495550.228000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,347,1605495550.347000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,461,1605495550.461000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,576,1605495550.576000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,687,1605495550.687000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,802,1605495550.802000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,10,918,1605495550.918000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,34,1605495551.034000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,151,1605495551.151000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,263,1605495551.263000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,386,1605495551.386000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,500,1605495551.500000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,621,1605495551.621000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,736,1605495551.736000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,858,1605495551.858000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,11,977,1605495551.977000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,90,1605495552.090000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,208,1605495552.208000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,328,1605495552.328000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,448,1605495552.448000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,565,1605495552.565000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,676,1605495552.676000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,791,1605495552.791000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,12,905,1605495552.905000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,21,1605495553.021000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,139,1605495553.139000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,254,1605495553.254000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,373,1605495553.373000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,492,1605495553.492000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,613,1605495553.613000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,728,1605495553.728000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,852,1605495553.852000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,13,963,1605495553.963000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,79,1605495554.079000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,195,1605495554.195000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,312,1605495554.312000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,429,1605495554.429000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,551,1605495554.551000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,668,1605495554.668000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,785,1605495554.785000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,14,899,1605495554.899000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,17,1605495555.017000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,143,1605495555.143000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,260,1605495555.260000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,386,1605495555.386000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,506,1605495555.506000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,628,1605495555.628000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,745,1605495555.745000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,870,1605495555.870000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,15,987,1605495555.987000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,107,1605495556.107000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,225,1605495556.225000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,341,1605495556.341000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,464,1605495556.464000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,579,1605495556.579000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,694,1605495556.694000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,810,1605495556.810000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,16,928,1605495556.928000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,51,1605495557.051000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,172,1605495557.172000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,291,1605495557.291000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,417,1605495557.417000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,543,1605495557.543000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,658,1605495557.658000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,770,1605495557.770000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,17,887,1605495557.887000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,9,1605495558.009000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,132,1605495558.132000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,253,1605495558.253000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,372,1605495558.372000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,494,1605495558.494000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,616,1605495558.616000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,734,1605495558.734000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,855,1605495558.855000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,18,974,1605495558.974000,0,0,0,0,0,1,1,1,1,
2020,11,16,12,59,19,88,1605495559.088000,0,0,0,0,0,1,1,1,1,
