year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,16,12,59,3,336,1605495543.336000,0,0,0,0,0,17,17,30,52,0,
2020,11,16,12,59,3,457,1605495543.457000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,3,572,1605495543.572000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,3,688,1605495543.688000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,3,804,1605495543.804000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,3,918,1605495543.918000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,29,1605495544.029000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,140,1605495544.140000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,249,1605495544.249000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,363,1605495544.363000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,479,1605495544.479000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,592,1605495544.592000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,705,1605495544.705000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,826,1605495544.826000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,4,940,1605495544.940000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,54,1605495545.054000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,169,1605495545.169000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,281,1605495545.281000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,397,1605495545.397000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,513,1605495545.513000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,623,1605495545.623000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,734,1605495545.734000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,845,1605495545.845000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,5,959,1605495545.959000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,69,1605495546.069000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,184,1605495546.184000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,301,1605495546.301000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,413,1605495546.413000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,523,1605495546.523000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,639,1605495546.639000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,751,1605495546.751000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,862,1605495546.862000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,6,977,1605495546.977000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,92,1605495547.092000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,210,1605495547.210000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,326,1605495547.326000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,438,1605495547.438000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,549,1605495547.549000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,662,1605495547.662000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,774,1605495547.774000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,7,888,1605495547.888000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,1,1605495548.001000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,121,1605495548.121000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,236,1605495548.236000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,358,1605495548.358000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,484,1605495548.484000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,600,1605495548.600000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,720,1605495548.720000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,835,1605495548.835000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,8,950,1605495548.950000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,64,1605495549.064000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,179,1605495549.179000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,293,1605495549.293000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,420,1605495549.420000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,536,1605495549.536000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,650,1605495549.650000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,763,1605495549.763000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,876,1605495549.876000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,9,995,1605495549.995000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,111,1605495550.111000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,232,1605495550.232000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,354,1605495550.354000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,475,1605495550.475000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,593,1605495550.593000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,715,1605495550.715000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,834,1605495550.834000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,10,947,1605495550.947000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,65,1605495551.065000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,180,1605495551.180000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,295,1605495551.295000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,416,1605495551.416000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,535,1605495551.535000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,650,1605495551.650000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,762,1605495551.762000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,11,885,1605495551.885000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,8,1605495552.008000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,129,1605495552.129000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,243,1605495552.243000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,368,1605495552.368000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,485,1605495552.485000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,601,1605495552.601000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,727,1605495552.727000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,846,1605495552.846000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,12,965,1605495552.965000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,78,1605495553.078000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,194,1605495553.194000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,308,1605495553.308000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,427,1605495553.427000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,556,1605495553.556000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,677,1605495553.677000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,793,1605495553.793000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,13,926,1605495553.926000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,45,1605495554.045000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,166,1605495554.166000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,286,1605495554.286000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,409,1605495554.409000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,531,1605495554.531000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,647,1605495554.647000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,765,1605495554.765000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,881,1605495554.881000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,14,997,1605495554.997000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,127,1605495555.127000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,253,1605495555.253000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,378,1605495555.378000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,497,1605495555.497000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,622,1605495555.622000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,741,1605495555.741000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,864,1605495555.864000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,15,983,1605495555.983000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,99,1605495556.099000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,214,1605495556.214000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,332,1605495556.332000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,457,1605495556.457000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,571,1605495556.571000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,685,1605495556.685000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,801,1605495556.801000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,16,918,1605495556.918000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,39,1605495557.039000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,156,1605495557.156000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,276,1605495557.276000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,402,1605495557.402000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,526,1605495557.526000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,641,1605495557.641000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,754,1605495557.754000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,875,1605495557.875000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,17,992,1605495557.992000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,115,1605495558.115000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,230,1605495558.230000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,356,1605495558.356000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,480,1605495558.480000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,601,1605495558.601000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,715,1605495558.715000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,838,1605495558.838000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,18,963,1605495558.963000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,78,1605495559.078000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,193,1605495559.193000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,310,1605495559.310000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,438,1605495559.438000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,561,1605495559.561000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,679,1605495559.679000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,799,1605495559.799000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,19,914,1605495559.914000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,36,1605495560.036000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,156,1605495560.156000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,274,1605495560.274000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,394,1605495560.394000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,518,1605495560.518000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,639,1605495560.639000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,59,20,756,1605495560.756000,1,0,0,1,0,17,17,30,52,0,
