year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,16,15,21,12,387,1605504072.387000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,12,508,1605504072.508000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,12,625,1605504072.625000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,12,737,1605504072.737000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,12,851,1605504072.851000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,12,966,1605504072.966000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,85,1605504073.085000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,201,1605504073.201000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,316,1605504073.316000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,431,1605504073.431000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,544,1605504073.544000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,660,1605504073.660000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,772,1605504073.772000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,13,890,1605504073.890000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,1,1605504074.001000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,118,1605504074.118000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,233,1605504074.233000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,349,1605504074.349000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,464,1605504074.464000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,580,1605504074.580000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,695,1605504074.695000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,807,1605504074.807000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,14,925,1605504074.925000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,45,1605504075.045000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,161,1605504075.161000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,274,1605504075.274000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,387,1605504075.387000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,502,1605504075.502000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,619,1605504075.619000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,739,1605504075.739000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,860,1605504075.860000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,15,973,1605504075.973000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,16,101,1605504076.101000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,21,16,222,1605504076.222000,0,0,0,0,0,1,1,1,1,
