pkt arrive time in UTC,Label,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1609747029.29519,0,1.00000,99,255,4,142,1231,2000,BFP,231,1609747028,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747029.59084,0,1.00000,32,255,2,147,1121,2000,PIOC,121,1609747028,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747030.29548,0,1.00029,99,255,4,142,1231,2000,BFP,231,1609747028,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747030.59132,0,1.00048,32,255,2,147,1121,2000,PIOC,121,1609747028,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747030.84222,0,1.00000,11,255,3,152,1131,2000,PIOC,131,1609747029,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747031.29591,0,1.00043,99,255,4,142,1231,2000,BFP,231,1609747028,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747031.59167,0,1.00035,32,255,2,147,1121,2000,PIOC,121,1609747028,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747031.84257,0,1.00035,11,255,3,152,1131,2000,PIOC,131,1609747029,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747032.21837,0,1.00000,23,255,1,147,1111,2000,PIOC,111,1609747031,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747032.29638,0,1.00047,99,255,4,142,1231,2000,BFP,231,1609747028,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747032.59213,0,1.00046,32,255,2,147,1121,2000,PIOC,121,1609747028,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747032.84325,0,1.00068,11,255,3,152,1131,2000,PIOC,131,1609747029,0,1,1,2,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747033.21891,0,1.00054,23,255,1,147,1111,2000,PIOC,111,1609747031,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747033.29660,0,1.00022,99,255,4,142,1231,2000,BFP,231,1609747028,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1609747033.59234,0,1.00021,32,255,2,147,1121,2000,PIOC,121,1609747028,0,1,1,4,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
