year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2021,1,4,17,57,6,531,1609747026.531000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,6,651,1609747026.651000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,6,763,1609747026.763000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,6,876,1609747026.876000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,6,988,1609747026.988000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,98,1609747027.098000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,209,1609747027.209000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,319,1609747027.319000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,429,1609747027.429000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,544,1609747027.544000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,657,1609747027.657000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,774,1609747027.774000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,7,885,1609747027.885000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,0,1609747028.000000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,112,1609747028.112000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,221,1609747028.221000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,334,1609747028.334000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,446,1609747028.446000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,559,1609747028.559000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,672,1609747028.672000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,785,1609747028.785000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,8,895,1609747028.895000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,6,1609747029.006000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,117,1609747029.117000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,227,1609747029.227000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,342,1609747029.342000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,460,1609747029.460000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,571,1609747029.571000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,685,1609747029.685000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,804,1609747029.804000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,9,914,1609747029.914000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,26,1609747030.026000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,139,1609747030.139000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,255,1609747030.255000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,369,1609747030.369000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,480,1609747030.480000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,591,1609747030.591000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,701,1609747030.701000,0,0,0,0,0,1,1,1,1,
2021,1,4,17,57,10,812,1609747030.812000,0,0,0,0,0,1,1,1,1,
