year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2021,1,4,17,57,4,325,1609747024.325000,0,0,0,0,0,0,0,0,26,
2021,1,4,17,57,4,441,1609747024.441000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,4,556,1609747024.556000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,4,669,1609747024.669000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,4,778,1609747024.778000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,4,889,1609747024.889000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,4,999,1609747024.999000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,111,1609747025.111000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,222,1609747025.222000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,333,1609747025.333000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,448,1609747025.448000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,559,1609747025.559000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,669,1609747025.669000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,779,1609747025.779000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,5,889,1609747025.889000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,3,1609747026.003000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,118,1609747026.118000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,230,1609747026.230000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,340,1609747026.340000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,452,1609747026.452000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,570,1609747026.570000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,682,1609747026.682000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,794,1609747026.794000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,6,906,1609747026.906000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,18,1609747027.018000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,132,1609747027.132000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,244,1609747027.244000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,360,1609747027.360000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,474,1609747027.474000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,586,1609747027.586000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,702,1609747027.702000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,815,1609747027.815000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,7,926,1609747027.926000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,40,1609747028.040000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,156,1609747028.156000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,270,1609747028.270000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,380,1609747028.380000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,496,1609747028.496000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,607,1609747028.607000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,721,1609747028.721000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,834,1609747028.834000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,8,947,1609747028.947000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,62,1609747029.062000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,182,1609747029.182000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,297,1609747029.297000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,410,1609747029.410000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,521,1609747029.521000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,633,1609747029.633000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,749,1609747029.749000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,862,1609747029.862000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,9,977,1609747029.977000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,90,1609747030.090000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,201,1609747030.201000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,315,1609747030.315000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,431,1609747030.431000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,542,1609747030.542000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,657,1609747030.657000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,770,1609747030.770000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,10,882,1609747030.882000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,11,0,1609747031.000000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,11,111,1609747031.111000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,11,226,1609747031.226000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,11,345,1609747031.345000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,11,462,1609747031.462000,0,0,0,0,0,0,0,26,26,
2021,1,4,17,57,11,581,1609747031.581000,0,0,0,0,0,0,0,26,26,
