year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,16,12,24,4,2,1605493444.002000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,122,1605493444.122000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,237,1605493444.237000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,350,1605493444.350000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,470,1605493444.470000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,581,1605493444.581000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,696,1605493444.696000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,808,1605493444.808000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,4,922,1605493444.922000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,33,1605493445.033000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,146,1605493445.146000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,261,1605493445.261000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,374,1605493445.374000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,488,1605493445.488000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,602,1605493445.602000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,714,1605493445.714000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,826,1605493445.826000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,5,939,1605493445.939000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,52,1605493446.052000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,168,1605493446.168000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,286,1605493446.286000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,417,1605493446.417000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,534,1605493446.534000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,650,1605493446.650000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,766,1605493446.766000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,6,890,1605493446.890000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,14,1605493447.014000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,128,1605493447.128000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,243,1605493447.243000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,358,1605493447.358000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,474,1605493447.474000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,586,1605493447.586000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,704,1605493447.704000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,815,1605493447.815000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,7,930,1605493447.930000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,46,1605493448.046000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,158,1605493448.158000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,268,1605493448.268000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,384,1605493448.384000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,503,1605493448.503000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,617,1605493448.617000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,732,1605493448.732000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,847,1605493448.847000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,8,960,1605493448.960000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,77,1605493449.077000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,192,1605493449.192000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,305,1605493449.305000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,422,1605493449.422000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,535,1605493449.535000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,648,1605493449.648000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,761,1605493449.761000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,878,1605493449.878000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,9,993,1605493449.993000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,110,1605493450.110000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,227,1605493450.227000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,339,1605493450.339000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,454,1605493450.454000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,564,1605493450.564000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,680,1605493450.680000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,796,1605493450.796000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,10,918,1605493450.918000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,35,1605493451.035000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,152,1605493451.152000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,269,1605493451.269000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,386,1605493451.386000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,507,1605493451.507000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,625,1605493451.625000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,741,1605493451.741000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,860,1605493451.860000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,11,970,1605493451.970000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,87,1605493452.087000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,218,1605493452.218000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,330,1605493452.330000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,447,1605493452.447000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,566,1605493452.566000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,691,1605493452.691000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,815,1605493452.815000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,12,937,1605493452.937000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,52,1605493453.052000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,171,1605493453.171000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,287,1605493453.287000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,403,1605493453.403000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,520,1605493453.520000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,638,1605493453.638000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,758,1605493453.758000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,880,1605493453.880000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,13,996,1605493453.996000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,117,1605493454.117000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,235,1605493454.235000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,348,1605493454.348000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,466,1605493454.466000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,582,1605493454.582000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,698,1605493454.698000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,817,1605493454.817000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,14,940,1605493454.940000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,15,59,1605493455.059000,0,0,0,0,0,0,0,26,26,
2020,11,16,12,24,15,185,1605493455.185000,0,0,0,0,0,0,0,26,26,
