year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,16,12,46,16,309,1605494776.309000,1,0,0,1,0,0,17,30,52,0,
2020,11,16,12,46,16,429,1605494776.429000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,16,542,1605494776.542000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,16,659,1605494776.659000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,16,772,1605494776.772000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,16,885,1605494776.885000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,16,998,1605494776.998000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,113,1605494777.113000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,224,1605494777.224000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,337,1605494777.337000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,454,1605494777.454000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,568,1605494777.568000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,688,1605494777.688000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,806,1605494777.806000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,17,919,1605494777.919000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,30,1605494778.030000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,142,1605494778.142000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,255,1605494778.255000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,368,1605494778.368000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,482,1605494778.482000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,598,1605494778.598000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,708,1605494778.708000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,822,1605494778.822000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,18,937,1605494778.937000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,50,1605494779.050000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,164,1605494779.164000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,280,1605494779.280000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,397,1605494779.397000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,508,1605494779.508000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,619,1605494779.619000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,734,1605494779.734000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,846,1605494779.846000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,19,963,1605494779.963000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,79,1605494780.079000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,192,1605494780.192000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,307,1605494780.307000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,428,1605494780.428000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,549,1605494780.549000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,660,1605494780.660000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,776,1605494780.776000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,20,893,1605494780.893000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,12,1605494781.012000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,128,1605494781.128000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,245,1605494781.245000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,357,1605494781.357000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,472,1605494781.472000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,583,1605494781.583000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,698,1605494781.698000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,817,1605494781.817000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,21,943,1605494781.943000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,59,1605494782.059000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,175,1605494782.175000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,294,1605494782.294000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,414,1605494782.414000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,532,1605494782.532000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,648,1605494782.648000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,767,1605494782.767000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,22,886,1605494782.886000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,4,1605494783.004000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,122,1605494783.122000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,242,1605494783.242000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,358,1605494783.358000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,477,1605494783.477000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,595,1605494783.595000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,712,1605494783.712000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,832,1605494783.832000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,23,946,1605494783.946000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,59,1605494784.059000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,174,1605494784.174000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,293,1605494784.293000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,412,1605494784.412000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,528,1605494784.528000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,644,1605494784.644000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,764,1605494784.764000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,24,883,1605494784.883000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,3,1605494785.003000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,124,1605494785.124000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,239,1605494785.239000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,354,1605494785.354000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,472,1605494785.472000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,592,1605494785.592000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,709,1605494785.709000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,12,46,25,823,1605494785.823000,1,0,0,1,0,17,17,30,52,0,
