year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,16,15,5,12,434,1605503112.434000,0,0,0,0,0,0,0,0,0,
2020,11,16,15,5,12,543,1605503112.543000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,12,646,1605503112.646000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,12,748,1605503112.748000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,12,855,1605503112.855000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,12,957,1605503112.957000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,59,1605503113.059000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,162,1605503113.162000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,265,1605503113.265000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,367,1605503113.367000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,469,1605503113.469000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,571,1605503113.571000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,674,1605503113.674000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,776,1605503113.776000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,878,1605503113.878000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,13,981,1605503113.981000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,83,1605503114.083000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,186,1605503114.186000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,288,1605503114.288000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,390,1605503114.390000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,492,1605503114.492000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,597,1605503114.597000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,699,1605503114.699000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,802,1605503114.802000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,14,904,1605503114.904000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,6,1605503115.006000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,109,1605503115.109000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,210,1605503115.210000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,313,1605503115.313000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,414,1605503115.414000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,517,1605503115.517000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,619,1605503115.619000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,721,1605503115.721000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,822,1605503115.822000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,15,924,1605503115.924000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,31,1605503116.031000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,133,1605503116.133000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,236,1605503116.236000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,338,1605503116.338000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,441,1605503116.441000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,545,1605503116.545000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,646,1605503116.646000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,748,1605503116.748000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,849,1605503116.849000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,16,954,1605503116.954000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,57,1605503117.057000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,160,1605503117.160000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,261,1605503117.261000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,363,1605503117.363000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,465,1605503117.465000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,567,1605503117.567000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,669,1605503117.669000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,771,1605503117.771000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,873,1605503117.873000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,17,975,1605503117.975000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,77,1605503118.077000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,179,1605503118.179000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,283,1605503118.283000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,385,1605503118.385000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,488,1605503118.488000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,592,1605503118.592000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,695,1605503118.695000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,797,1605503118.797000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,18,899,1605503118.899000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,3,1605503119.003000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,105,1605503119.105000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,207,1605503119.207000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,316,1605503119.316000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,419,1605503119.419000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,524,1605503119.524000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,626,1605503119.626000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,729,1605503119.729000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,831,1605503119.831000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,19,934,1605503119.934000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,37,1605503120.037000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,139,1605503120.139000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,241,1605503120.241000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,343,1605503120.343000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,447,1605503120.447000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,550,1605503120.550000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,657,1605503120.657000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,760,1605503120.760000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,862,1605503120.862000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,20,964,1605503120.964000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,66,1605503121.066000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,169,1605503121.169000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,270,1605503121.270000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,373,1605503121.373000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,476,1605503121.476000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,578,1605503121.578000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,5,21,681,1605503121.681000,0,0,0,0,0,0,0,26,26,
