year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,16,15,11,50,355,1605503510.355000,0,0,0,0,0,0,1,0,0,
2020,11,16,15,11,50,477,1605503510.477000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,50,591,1605503510.591000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,50,706,1605503510.706000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,50,825,1605503510.825000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,50,939,1605503510.939000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,57,1605503511.057000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,167,1605503511.167000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,285,1605503511.285000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,399,1605503511.399000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,511,1605503511.511000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,623,1605503511.623000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,735,1605503511.735000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,850,1605503511.850000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,51,964,1605503511.964000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,80,1605503512.080000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,199,1605503512.199000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,314,1605503512.314000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,426,1605503512.426000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,542,1605503512.542000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,659,1605503512.659000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,777,1605503512.777000,0,0,0,0,0,1,1,1,1,
2020,11,16,15,11,52,896,1605503512.896000,0,0,0,0,0,1,1,1,1,
