year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,16,15,21,7,824,1605504067.824000,0,0,0,0,0,0,0,0,26,
2020,11,16,15,21,7,933,1605504067.933000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,36,1605504068.036000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,137,1605504068.137000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,239,1605504068.239000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,341,1605504068.341000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,446,1605504068.446000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,549,1605504068.549000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,655,1605504068.655000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,757,1605504068.757000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,859,1605504068.859000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,8,962,1605504068.962000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,64,1605504069.064000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,165,1605504069.165000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,268,1605504069.268000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,370,1605504069.370000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,471,1605504069.471000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,575,1605504069.575000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,677,1605504069.677000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,779,1605504069.779000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,880,1605504069.880000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,9,982,1605504069.982000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,84,1605504070.084000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,187,1605504070.187000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,290,1605504070.290000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,392,1605504070.392000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,494,1605504070.494000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,597,1605504070.597000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,703,1605504070.703000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,805,1605504070.805000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,10,907,1605504070.907000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,9,1605504071.009000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,111,1605504071.111000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,213,1605504071.213000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,315,1605504071.315000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,417,1605504071.417000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,520,1605504071.520000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,623,1605504071.623000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,725,1605504071.725000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,827,1605504071.827000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,11,931,1605504071.931000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,35,1605504072.035000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,137,1605504072.137000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,240,1605504072.240000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,343,1605504072.343000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,445,1605504072.445000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,548,1605504072.548000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,653,1605504072.653000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,758,1605504072.758000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,861,1605504072.861000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,12,964,1605504072.964000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,67,1605504073.067000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,169,1605504073.169000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,271,1605504073.271000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,374,1605504073.374000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,477,1605504073.477000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,579,1605504073.579000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,681,1605504073.681000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,782,1605504073.782000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,885,1605504073.885000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,13,988,1605504073.988000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,90,1605504074.090000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,193,1605504074.193000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,295,1605504074.295000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,398,1605504074.398000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,500,1605504074.500000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,606,1605504074.606000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,708,1605504074.708000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,810,1605504074.810000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,14,913,1605504074.913000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,15,1605504075.015000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,117,1605504075.117000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,220,1605504075.220000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,322,1605504075.322000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,424,1605504075.424000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,527,1605504075.527000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,630,1605504075.630000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,733,1605504075.733000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,835,1605504075.835000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,15,938,1605504075.938000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,41,1605504076.041000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,145,1605504076.145000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,247,1605504076.247000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,349,1605504076.349000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,455,1605504076.455000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,559,1605504076.559000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,662,1605504076.662000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,764,1605504076.764000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,867,1605504076.867000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,16,969,1605504076.969000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,71,1605504077.071000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,173,1605504077.173000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,276,1605504077.276000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,378,1605504077.378000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,481,1605504077.481000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,583,1605504077.583000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,686,1605504077.686000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,787,1605504077.787000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,890,1605504077.890000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,17,992,1605504077.992000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,94,1605504078.094000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,196,1605504078.196000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,299,1605504078.299000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,401,1605504078.401000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,504,1605504078.504000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,607,1605504078.607000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,709,1605504078.709000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,812,1605504078.812000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,18,915,1605504078.915000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,18,1605504079.018000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,120,1605504079.120000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,222,1605504079.222000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,324,1605504079.324000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,427,1605504079.427000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,528,1605504079.528000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,631,1605504079.631000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,732,1605504079.732000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,837,1605504079.837000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,19,938,1605504079.938000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,40,1605504080.040000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,144,1605504080.144000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,246,1605504080.246000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,347,1605504080.347000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,454,1605504080.454000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,556,1605504080.556000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,659,1605504080.659000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,765,1605504080.765000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,868,1605504080.868000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,20,970,1605504080.970000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,72,1605504081.072000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,174,1605504081.174000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,277,1605504081.277000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,382,1605504081.382000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,485,1605504081.485000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,587,1605504081.587000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,690,1605504081.690000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,792,1605504081.792000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,896,1605504081.896000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,21,998,1605504081.998000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,102,1605504082.102000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,205,1605504082.205000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,307,1605504082.307000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,409,1605504082.409000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,512,1605504082.512000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,614,1605504082.614000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,717,1605504082.717000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,819,1605504082.819000,0,0,0,0,0,0,0,26,26,
2020,11,16,15,21,22,921,1605504082.921000,0,0,0,0,0,0,0,26,26,
