year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,16,15,21,6,526,1605504066.526000,0,0,0,0,0,0,0,30,52,0,
2020,11,16,15,21,6,646,1605504066.646000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,6,759,1605504066.759000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,6,873,1605504066.873000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,6,990,1605504066.990000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,100,1605504067.100000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,213,1605504067.213000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,326,1605504067.326000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,439,1605504067.439000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,551,1605504067.551000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,663,1605504067.663000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,778,1605504067.778000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,7,902,1605504067.902000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,16,1605504068.016000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,127,1605504068.127000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,241,1605504068.241000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,359,1605504068.359000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,473,1605504068.473000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,591,1605504068.591000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,708,1605504068.708000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,821,1605504068.821000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,8,935,1605504068.935000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,47,1605504069.047000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,158,1605504069.158000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,273,1605504069.273000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,385,1605504069.385000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,503,1605504069.503000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,631,1605504069.631000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,743,1605504069.743000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,856,1605504069.856000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,9,971,1605504069.971000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,86,1605504070.086000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,202,1605504070.202000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,317,1605504070.317000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,430,1605504070.430000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,542,1605504070.542000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,658,1605504070.658000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,773,1605504070.773000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,886,1605504070.886000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,10,999,1605504070.999000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,114,1605504071.114000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,228,1605504071.228000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,338,1605504071.338000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,454,1605504071.454000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,568,1605504071.568000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,683,1605504071.683000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,798,1605504071.798000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,11,916,1605504071.916000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,34,1605504072.034000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,150,1605504072.150000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,264,1605504072.264000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,381,1605504072.381000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,493,1605504072.493000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,610,1605504072.610000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,726,1605504072.726000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,844,1605504072.844000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,12,960,1605504072.960000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,83,1605504073.083000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,197,1605504073.197000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,313,1605504073.313000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,431,1605504073.431000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,545,1605504073.545000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,662,1605504073.662000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,774,1605504073.774000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,13,892,1605504073.892000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,4,1605504074.004000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,126,1605504074.126000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,245,1605504074.245000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,358,1605504074.358000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,473,1605504074.473000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,589,1605504074.589000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,705,1605504074.705000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,820,1605504074.820000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,14,939,1605504074.939000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,63,1605504075.063000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,182,1605504075.182000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,300,1605504075.300000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,417,1605504075.417000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,531,1605504075.531000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,656,1605504075.656000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,776,1605504075.776000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,15,895,1605504075.895000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,13,1605504076.013000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,136,1605504076.136000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,257,1605504076.257000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,368,1605504076.368000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,499,1605504076.499000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,613,1605504076.613000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,735,1605504076.735000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,858,1605504076.858000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,16,976,1605504076.976000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,93,1605504077.093000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,205,1605504077.205000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,321,1605504077.321000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,437,1605504077.437000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,556,1605504077.556000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,677,1605504077.677000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,790,1605504077.790000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,17,915,1605504077.915000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,33,1605504078.033000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,150,1605504078.150000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,267,1605504078.267000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,385,1605504078.385000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,501,1605504078.501000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,619,1605504078.619000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,733,1605504078.733000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,854,1605504078.854000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,18,967,1605504078.967000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,90,1605504079.090000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,208,1605504079.208000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,332,1605504079.332000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,449,1605504079.449000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,578,1605504079.578000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,698,1605504079.698000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,817,1605504079.817000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,19,932,1605504079.932000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,47,1605504080.047000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,169,1605504080.169000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,287,1605504080.287000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,400,1605504080.400000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,515,1605504080.515000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,630,1605504080.630000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,747,1605504080.747000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,864,1605504080.864000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,20,978,1605504080.978000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,98,1605504081.098000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,218,1605504081.218000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,339,1605504081.339000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,450,1605504081.450000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,567,1605504081.567000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,684,1605504081.684000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,799,1605504081.799000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,21,912,1605504081.912000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,29,1605504082.029000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,146,1605504082.146000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,262,1605504082.262000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,385,1605504082.385000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,501,1605504082.501000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,619,1605504082.619000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,737,1605504082.737000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,851,1605504082.851000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,22,973,1605504082.973000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,89,1605504083.089000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,209,1605504083.209000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,325,1605504083.325000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,438,1605504083.438000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,552,1605504083.552000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,677,1605504083.677000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,793,1605504083.793000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,23,917,1605504083.917000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,34,1605504084.034000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,149,1605504084.149000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,267,1605504084.267000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,390,1605504084.390000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,504,1605504084.504000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,621,1605504084.621000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,743,1605504084.743000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,863,1605504084.863000,1,0,0,1,0,17,17,30,52,0,
2020,11,16,15,21,24,978,1605504084.978000,1,0,0,1,0,17,17,30,52,0,
