year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,12,51,29,175,1605063089.175000,0,0,0,0,0,0,0,0,0,
2020,11,11,12,51,29,294,1605063089.294000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,29,412,1605063089.412000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,29,532,1605063089.532000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,29,644,1605063089.644000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,29,758,1605063089.758000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,29,876,1605063089.876000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,29,990,1605063089.990000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,105,1605063090.105000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,221,1605063090.221000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,337,1605063090.337000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,452,1605063090.452000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,562,1605063090.562000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,680,1605063090.680000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,797,1605063090.797000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,30,912,1605063090.912000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,32,1605063091.032000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,145,1605063091.145000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,257,1605063091.257000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,370,1605063091.370000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,483,1605063091.483000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,594,1605063091.594000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,712,1605063091.712000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,828,1605063091.828000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,31,944,1605063091.944000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,66,1605063092.066000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,185,1605063092.185000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,303,1605063092.303000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,423,1605063092.423000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,540,1605063092.540000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,659,1605063092.659000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,772,1605063092.772000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,32,891,1605063092.891000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,33,7,1605063093.007000,0,0,0,0,0,1,1,1,1,
2020,11,11,12,51,33,124,1605063093.124000,0,0,0,0,0,1,1,1,1,
