year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,11,12,57,32,119,1605063452.119000,0,0,0,0,0,0,0,0,0,
2020,11,11,12,57,32,234,1605063452.234000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,337,1605063452.337000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,439,1605063452.439000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,540,1605063452.540000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,642,1605063452.642000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,745,1605063452.745000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,849,1605063452.849000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,32,952,1605063452.952000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,53,1605063453.053000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,155,1605063453.155000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,257,1605063453.257000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,359,1605063453.359000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,462,1605063453.462000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,564,1605063453.564000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,667,1605063453.667000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,769,1605063453.769000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,871,1605063453.871000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,33,974,1605063453.974000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,34,76,1605063454.076000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,34,178,1605063454.178000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,34,280,1605063454.280000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,34,382,1605063454.382000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,57,34,484,1605063454.484000,0,0,0,0,0,0,0,26,26,
