year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2020,11,11,13,21,2,890,1605064862.890000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,10,1605064863.010000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,126,1605064863.126000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,239,1605064863.239000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,350,1605064863.350000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,468,1605064863.468000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,584,1605064863.584000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,697,1605064863.697000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,809,1605064863.809000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,3,924,1605064863.924000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,36,1605064864.036000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,150,1605064864.150000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,271,1605064864.271000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,385,1605064864.385000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,501,1605064864.501000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,618,1605064864.618000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,732,1605064864.732000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,844,1605064864.844000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,4,960,1605064864.960000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,73,1605064865.073000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,187,1605064865.187000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,304,1605064865.304000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,414,1605064865.414000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,532,1605064865.532000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,648,1605064865.648000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,766,1605064865.766000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,5,882,1605064865.882000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,2,1605064866.002000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,121,1605064866.121000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,236,1605064866.236000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,360,1605064866.360000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,476,1605064866.476000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,591,1605064866.591000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,703,1605064866.703000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,816,1605064866.816000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,6,937,1605064866.937000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,54,1605064867.054000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,171,1605064867.171000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,284,1605064867.284000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,402,1605064867.402000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,517,1605064867.517000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,635,1605064867.635000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,753,1605064867.753000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,869,1605064867.869000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,7,987,1605064867.987000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,99,1605064868.099000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,216,1605064868.216000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,339,1605064868.339000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,457,1605064868.457000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,573,1605064868.573000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,694,1605064868.694000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,813,1605064868.813000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,8,928,1605064868.928000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,41,1605064869.041000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,155,1605064869.155000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,270,1605064869.270000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,390,1605064869.390000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,503,1605064869.503000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,618,1605064869.618000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,730,1605064869.730000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,844,1605064869.844000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,9,960,1605064869.960000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,10,74,1605064870.074000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,10,190,1605064870.190000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,10,301,1605064870.301000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,10,416,1605064870.416000,0,0,0,0,0,1,1,1,1,
2020,11,11,13,21,10,532,1605064870.532000,0,0,0,0,0,1,1,1,1,
