year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,11,13,28,26,302,1605065306.302000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,26,422,1605065306.422000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,26,523,1605065306.523000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,26,625,1605065306.625000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,26,727,1605065306.727000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,26,829,1605065306.829000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,26,931,1605065306.931000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,33,1605065307.033000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,134,1605065307.134000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,236,1605065307.236000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,337,1605065307.337000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,439,1605065307.439000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,541,1605065307.541000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,643,1605065307.643000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,745,1605065307.745000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,847,1605065307.847000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,27,949,1605065307.949000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,51,1605065308.051000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,153,1605065308.153000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,255,1605065308.255000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,357,1605065308.357000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,459,1605065308.459000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,560,1605065308.560000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,662,1605065308.662000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,764,1605065308.764000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,866,1605065308.866000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,28,969,1605065308.969000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,70,1605065309.070000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,172,1605065309.172000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,276,1605065309.276000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,378,1605065309.378000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,479,1605065309.479000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,585,1605065309.585000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,687,1605065309.687000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,790,1605065309.790000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,892,1605065309.892000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,29,994,1605065309.994000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,30,96,1605065310.096000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,30,202,1605065310.202000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,30,304,1605065310.304000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,30,406,1605065310.406000,0,0,0,0,0,0,0,26,26,
2020,11,11,13,28,30,509,1605065310.509000,0,0,0,0,0,0,0,26,26,
