year,month,day,hour,minute,second,millisecond,UTC,open_CB1-66KV,open_CB2-66KV,open_CB-TRSF1,open_CB2-22KV,I_CB1-66KV,I_CB2-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_CB2-22KV
2020,11,11,13,28,23,470,1605065303.470000,0,1,0,1,0,0,0,0,0,0,
2020,11,11,13,28,23,580,1605065303.580000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,23,682,1605065303.682000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,23,784,1605065303.784000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,23,886,1605065303.886000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,23,988,1605065303.988000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,90,1605065304.090000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,192,1605065304.192000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,294,1605065304.294000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,396,1605065304.396000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,498,1605065304.498000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,604,1605065304.604000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,705,1605065304.705000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,807,1605065304.807000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,24,909,1605065304.909000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,11,1605065305.011000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,113,1605065305.113000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,216,1605065305.216000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,318,1605065305.318000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,420,1605065305.420000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,522,1605065305.522000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,625,1605065305.625000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,727,1605065305.727000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,829,1605065305.829000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,25,931,1605065305.931000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,33,1605065306.033000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,135,1605065306.135000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,237,1605065306.237000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,338,1605065306.338000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,440,1605065306.440000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,542,1605065306.542000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,644,1605065306.644000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,746,1605065306.746000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,849,1605065306.849000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,26,953,1605065306.953000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,56,1605065307.056000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,157,1605065307.157000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,260,1605065307.260000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,362,1605065307.362000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,464,1605065307.464000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,566,1605065307.566000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,669,1605065307.669000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,771,1605065307.771000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,873,1605065307.873000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,27,975,1605065307.975000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,78,1605065308.078000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,180,1605065308.180000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,282,1605065308.282000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,383,1605065308.383000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,485,1605065308.485000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,587,1605065308.587000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,690,1605065308.690000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,792,1605065308.792000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,894,1605065308.894000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,28,996,1605065308.996000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,99,1605065309.099000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,206,1605065309.206000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,307,1605065309.307000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,409,1605065309.409000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,511,1605065309.511000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,613,1605065309.613000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,714,1605065309.714000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,13,28,29,816,1605065309.816000,0,1,0,1,17,0,17,30,52,0,
