year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR4
2020,11,11,12,45,11,294,1605062711.294000,0,0,0,0,0,0,0,26,0,
2020,11,11,12,45,11,410,1605062711.410000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,11,512,1605062711.512000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,11,614,1605062711.614000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,11,715,1605062711.715000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,11,817,1605062711.817000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,11,918,1605062711.918000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,20,1605062712.020000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,122,1605062712.122000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,223,1605062712.223000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,326,1605062712.326000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,428,1605062712.428000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,530,1605062712.530000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,633,1605062712.633000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,736,1605062712.736000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,837,1605062712.837000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,12,939,1605062712.939000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,40,1605062713.040000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,142,1605062713.142000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,244,1605062713.244000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,347,1605062713.347000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,451,1605062713.451000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,554,1605062713.554000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,655,1605062713.655000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,758,1605062713.758000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,861,1605062713.861000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,13,964,1605062713.964000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,66,1605062714.066000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,168,1605062714.168000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,269,1605062714.269000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,371,1605062714.371000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,473,1605062714.473000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,575,1605062714.575000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,677,1605062714.677000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,779,1605062714.779000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,881,1605062714.881000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,14,983,1605062714.983000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,85,1605062715.085000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,188,1605062715.188000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,292,1605062715.292000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,394,1605062715.394000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,496,1605062715.496000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,599,1605062715.599000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,701,1605062715.701000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,802,1605062715.802000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,15,905,1605062715.905000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,6,1605062716.006000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,109,1605062716.109000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,211,1605062716.211000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,313,1605062716.313000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,416,1605062716.416000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,520,1605062716.520000,0,0,0,0,0,0,0,26,26,
2020,11,11,12,45,16,622,1605062716.622000,0,0,0,0,0,0,0,26,26,
