year,month,day,hour,minute,second,millisecond,UTC,open_CB1-66KV,open_CB2-66KV,open_CB-TRSF1,open_CB2-22KV,I_CB1-66KV,I_CB2-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_CB2-22KV
2020,11,11,12,45,7,992,1605062707.992000,0,1,0,1,0,0,0,0,0,0,
2020,11,11,12,45,8,103,1605062708.103000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,206,1605062708.206000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,307,1605062708.307000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,409,1605062708.409000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,511,1605062708.511000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,613,1605062708.613000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,714,1605062708.714000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,816,1605062708.816000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,8,919,1605062708.919000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,21,1605062709.021000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,122,1605062709.122000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,224,1605062709.224000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,326,1605062709.326000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,428,1605062709.428000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,529,1605062709.529000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,632,1605062709.632000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,735,1605062709.735000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,837,1605062709.837000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,9,939,1605062709.939000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,41,1605062710.041000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,143,1605062710.143000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,245,1605062710.245000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,346,1605062710.346000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,449,1605062710.449000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,553,1605062710.553000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,655,1605062710.655000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,756,1605062710.756000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,857,1605062710.857000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,10,959,1605062710.959000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,62,1605062711.062000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,164,1605062711.164000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,266,1605062711.266000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,368,1605062711.368000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,470,1605062711.470000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,572,1605062711.572000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,674,1605062711.674000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,777,1605062711.777000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,879,1605062711.879000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,11,981,1605062711.981000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,83,1605062712.083000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,184,1605062712.184000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,286,1605062712.286000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,389,1605062712.389000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,492,1605062712.492000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,594,1605062712.594000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,696,1605062712.696000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,799,1605062712.799000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,12,902,1605062712.902000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,13,4,1605062713.004000,0,1,0,1,17,0,17,30,52,0,
2020,11,11,12,45,13,105,1605062713.105000,0,1,0,1,17,0,17,30,52,0,
