year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2020,11,11,13,4,33,475,1605063873.475000,1,0,0,1,0,0,0,0,0,0,
2020,11,11,13,4,33,589,1605063873.589000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,33,704,1605063873.704000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,33,813,1605063873.813000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,33,929,1605063873.929000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,41,1605063874.041000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,153,1605063874.153000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,267,1605063874.267000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,377,1605063874.377000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,490,1605063874.490000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,605,1605063874.605000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,720,1605063874.720000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,835,1605063874.835000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,34,946,1605063874.946000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,60,1605063875.060000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,175,1605063875.175000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,295,1605063875.295000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,409,1605063875.409000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,522,1605063875.522000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,635,1605063875.635000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,745,1605063875.745000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,863,1605063875.863000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,35,978,1605063875.978000,1,0,0,1,0,17,17,30,52,0,
2020,11,11,13,4,36,91,1605063876.091000,1,0,0,1,0,17,17,30,52,0,
