year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2021,1,4,17,57,3,318,1609747023.318000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,3,440,1609747023.440000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,3,551,1609747023.551000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,3,662,1609747023.662000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,3,773,1609747023.773000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,3,888,1609747023.888000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,3,999,1609747023.999000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,112,1609747024.112000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,224,1609747024.224000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,340,1609747024.340000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,454,1609747024.454000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,564,1609747024.564000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,677,1609747024.677000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,787,1609747024.787000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,4,899,1609747024.899000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,9,1609747025.009000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,120,1609747025.120000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,234,1609747025.234000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,349,1609747025.349000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,466,1609747025.466000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,578,1609747025.578000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,691,1609747025.691000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,801,1609747025.801000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,5,915,1609747025.915000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,25,1609747026.025000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,143,1609747026.143000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,259,1609747026.259000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,375,1609747026.375000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,486,1609747026.486000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,597,1609747026.597000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,708,1609747026.708000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,820,1609747026.820000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,6,935,1609747026.935000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,47,1609747027.047000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,161,1609747027.161000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,273,1609747027.273000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,387,1609747027.387000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,497,1609747027.497000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,608,1609747027.608000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,727,1609747027.727000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,845,1609747027.845000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,7,958,1609747027.958000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,70,1609747028.070000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,183,1609747028.183000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,298,1609747028.298000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,409,1609747028.409000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,521,1609747028.521000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,633,1609747028.633000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,748,1609747028.748000,1,0,0,1,0,17,17,30,52,0,
2021,1,4,17,57,8,863,1609747028.863000,1,0,0,1,0,17,17,30,52,0,
